"","Freq","Rel.Freq"
"sundarbans",3,6.25
"tropics",3,6.25
"acid phosphatase",2,4.16666666666667
"acidobacteria",2,4.16666666666667
"amino acids",2,4.16666666666667
"anaerobic ammonium oxidation",2,4.16666666666667
"avicennia",2,4.16666666666667
"avicennia marina",2,4.16666666666667
"bacilli",2,4.16666666666667
"bacteriology",2,4.16666666666667
"biodegradation",2,4.16666666666667
"biodiversity",2,4.16666666666667
"biogeochemical cycle",2,4.16666666666667
"biosphere",2,4.16666666666667
"carbon cycle",2,4.16666666666667
"carbon cycling",2,4.16666666666667
"carbon footprint",2,4.16666666666667
"carbon sink",2,4.16666666666667
"carbon source",2,4.16666666666667
"chemical analysis",2,4.16666666666667
"chemical composition",2,4.16666666666667
"chlorophyll a",2,4.16666666666667
"coastal development",2,4.16666666666667
"coastal water",2,4.16666666666667
"coexistence",2,4.16666666666667
"community composition",2,4.16666666666667
"correlational study",2,4.16666666666667
"denitrification",2,4.16666666666667
"desulfovibrio",2,4.16666666666667
"desulfuromonas",2,4.16666666666667
"digital storage",2,4.16666666666667
"dna 16s",2,4.16666666666667
"ecology",2,4.16666666666667
"ecosystem service",2,4.16666666666667
"estuary",2,4.16666666666667
"euryarchaeota",2,4.16666666666667
"florida [united states]",2,4.16666666666667
"fujian",2,4.16666666666667
"functional diversity",2,4.16666666666667
"functional group",2,4.16666666666667
"fungal protein",2,4.16666666666667
"fungal proteins",2,4.16666666666667
"fungus",2,4.16666666666667
"gene expression",2,4.16666666666667
"genetics",2,4.16666666666667
"geographic distribution",2,4.16666666666667
"geologic sediments",2,4.16666666666667
"ghg emission",2,4.16666666666667
"ghgs emissions",2,4.16666666666667
"global change",2,4.16666666666667
"global climate",2,4.16666666666667
"global warming",2,4.16666666666667
"glomalin-related soil protein",2,4.16666666666667
"grass",2,4.16666666666667
"greenhouse effect",2,4.16666666666667
"growth rate",2,4.16666666666667
"guangdong",2,4.16666666666667
"heavy metal",2,4.16666666666667
"incubation time",2,4.16666666666667
"introduced species",2,4.16666666666667
"invasive species",2,4.16666666666667
"isotopes",2,4.16666666666667
"landuse change",2,4.16666666666667
"leaching",2,4.16666666666667
"marine ecosystem",2,4.16666666666667
"methanogen",2,4.16666666666667
"methanogenesis",2,4.16666666666667
"methanogens",2,4.16666666666667
"methanosarcina",2,4.16666666666667
"methanotroph",2,4.16666666666667
"microbial activities",2,4.16666666666667
"microbial ecology",2,4.16666666666667
"microcosm",2,4.16666666666667
"microorganism",2,4.16666666666667
"mineralogy",2,4.16666666666667
"monophenol monooxygenase",2,4.16666666666667
"nitrate",2,4.16666666666667
"nutrient availability",2,4.16666666666667
"nutrient limitation",2,4.16666666666667
"oxygen",2,4.16666666666667
"pacific ocean",2,4.16666666666667
"peroxidase",2,4.16666666666667
"physiology",2,4.16666666666667
"poaceae",2,4.16666666666667
"polymerase chain reaction",2,4.16666666666667
"pond",2,4.16666666666667
"pore waters",2,4.16666666666667
"precipitation",2,4.16666666666667
"primary production",2,4.16666666666667
"proteins",2,4.16666666666667
"random processes",2,4.16666666666667
"rhizophora",2,4.16666666666667
"rice",2,4.16666666666667
"seagrass",2,4.16666666666667
"soc",2,4.16666666666667
"soil acidity",2,4.16666666666667
"soil analysis",2,4.16666666666667
"soil carbon pool",2,4.16666666666667
"soil chemistry",2,4.16666666666667
"soil emission",2,4.16666666666667
"soil moisture",2,4.16666666666667
"soil nutrient",2,4.16666666666667
"soil organic carbon",2,4.16666666666667
