"","totalArticles","totalCitations"
"ECOLOGY",1,52
"ECOLOGY AND EVOLUTION",1,6
"ECOSYSTEMS",1,17
"ENVIRON. EARTH SCI.",1,23
"ENVIRON. MICROBIOMES",1,45
"ENVIRON. SCI. TECHNOL.",1,55
"ENVIRON. TECHNOL. INNOV.",1,28
"ENVIRON.RES.LETT.",1,12
"ESTUAR. COASTS",1,31
"EVID.-BASED COMPLEMENT. ALTERN. MED.",1,26
"EXTREMOPHILES",1,40
"FOLIA MICROBIOL.",1,4
"FOOD CONTROL",1,54
"FOR. RES.",1,2
"FRONT. ECOL. EVOL.",1,2
"FRONT. ENVIRON. SCI.",1,4
"FRONT. ENVIRON. SCI. ENG.",1,14
"FRONT. PHARMACOL.",1,64
"FUNDAM. RES.",1,2
"FUNGAL DIVERSITY",1,160
"GENE REP.",1,5
"GENES (BASEL)",1,0
"GENES GENET. SYST.",1,6
"GENOMICS",1,14
"GENOMICS. PROTEOMICS BIOINFORM.",1,59
"GEOCHEM. TRANS.",1,0
"GRANJA",1,1
"HELIYON",1,0
"HYDROBIOLOGIA",1,12
"INDIAN J. AGRIC. SCI.",1,9
"INDIAN J. ENVIRON. PROT.",1,0
"INDIAN J. MED. RES.",1,8
"INDIAN J. MICROBIOL.",1,74
"INDIAN J. PHARM. EDUC. RES.",1,0
"INDIAN J. PHARM. SCI.",1,2
"INT. J.  PHARMCY PHARM. SCI.",1,0
"INT. J. APPL. ENVIRON. SCI.",1,0
"INT. J. ASTROBIOLOGY",1,11
"INT. J. CHEMTECH RES.",1,7
"INT. J. DES. NAT. ECODYN.",1,0
"INT. J. ENVIRON. SUSTAINABLE DEV.",1,2
"INT. J. GEOMATE",1,0
"INT. J. MOL. SCI.",1,25
"INT. J. PHYTOREM.",1,4
"IRAN. J. PHARM. RES.",1,17
"J AM LEATHER CHEM ASSOC",1,0
"J POLYM RES",1,20
"J.  AGRO-ENVIRON. SCI.",1,0
"J. AFR. EARTH SCI.",1,21
"J. APPL. BIOL. BIOTECHNOL.",1,0
"J. APPL. MICROBIOL.",1,25
"J. APPL. NAT. SCI.",1,6
"J. APPL. PHARM. SCI.",1,12
"J. BACTERIOL.",1,1
"J. BIOSCI. BIOENG.",1,15
"J. CELL. BIOCHEM.",1,5
"J. CHEM. TECHNOL. BIOTECHNOL.",1,9
"J. ECOL.",1,19
"J. ENG. SCI. TECHNOL.",1,2
"J. ENVIORN. HEALTH SCI. ENG.",1,34
"J. ENVIRON. SCI. HEALTH PART A TOXIC HAZARD. SUBST. ENVIRON. ENG.",1,31
"J. EXP. MAR. BIOL. ECOL.",1,69
"J. FUNGI",1,5
"J. GENET. ENG. BIOTECHNOL.",1,122
"J. INT. SOC. SOUTHEAST ASIAN AGRIC. SCI.",1,0
"J. MAR. SYST.",1,99
"J. MICROBIOL. BIOTECHNOL.",1,8
"J. MICROBIOL. BIOTECHNOL. FOOD SCI.",1,0
"J. MICROBIOL. METHODS",1,8
"J. NATL. SCI. FOUND. SRI LANKA",1,5
"J. OCEAN UNIV. CHINA",1,8
"J. PARASITIC DIS.",1,11
"J. SCI. IND. RES.",1,6
"J. SOIL SCI PLANT NUTRI.",1,0
"J. TROP. ECOL.",1,10
"J. WATER ENVIRON. NANOTECHNOL.",1,1
"LAND CONTAM. RECLAM.",1,4
"MALAYS. APPL. BIOL.",1,0
"MANGROVES SALT MARSHES",1,18
"MAR. BIOL.",1,19
"MAR. BIOL. RES.",1,0
"MAR. BIOTECHNOL.",1,2
"MAR. ECOL.",1,10
"MAR. ENVIRON. RES.",1,15
"MATER.",1,30
"MBIO",1,64
"MED. MYCOL.",1,1
"METHODSX",1,22
"MICROB. BIOTECHNOL.",1,11
"MICROB. CELL FACT.",1,35
"MSYSTEMS",1,34
"MYCOKEYS",1,0
"MYCOL. PROG.",1,0
"MYCOPATHOLOGIA ET MYCOLOGIA APPLICATA",1,1
"MYCOSCIENCE",1,8
"NOVEL RES. MICROBIOL. J.",1,2
"NPJ BIOFILMS AND MICROBIOMES",1,57
"OCEANOL. LIMNOL. SIN.",1,1
"OIL CHEM. POLLUT.",1,8
"OPEN BIOTECHNOL. J.",1,0
"ORG. BIOMOL. CHEM.",1,56
"ORG. GEOCHEM.",1,16
"ORG. LETT.",1,48
"PESTIC. BIOCHEM. PHYSIOL.",1,37
"PHYSIOL. MOL. PLANT. PATHOL.",1,6
"PHYTOCHEM. LETT.",1,29
"PHYTOPATHOLOGIA MEDITERRANEA",1,4
"PHYTOPATHOLOGY",1,9
"PHYTOTHER. RES.",1,28
"PLANT ARCH.",1,15
"PLANT BIOSYST.",1,16
"PLANT BIOTECHNOL.",1,7
"POL. J. ENVIRON. STUD.",1,3
"POL. J. MICROBIOL.",1,13
"POLYCYCLIC AROMAT. COMPD.",1,19
"POLYM.",1,4
"PREP. BIOCHEM. BIOTECHNOL.",1,10
"PROC. INDIAN ACAD. SCI. (ANIM. SCI.)",1,1
"PROC. ZOOLOG. SOC.",1,2
"PROCESS BIOCHEM.",1,4
"RECENT PAT. BIOTECHNOL.",1,3
"RES. J. BIOTECHNOL.",1,1
"RES. J. CHEM. ENVIRON.",1,4
"RES. J. PHARM., BIOL. CHEM. SCI.",1,3
"REV. BRAS. PALEONTOL.",1,7
"REV. GEOGR. VENEZ.",1,2
"REV. MEX. ING. QUMICA",1,11
"RSC ADV.",1,5
"RUSS. J. PLANT PHYSIOL.",1,8
"SCI. WORLD J.",1,112
"SHENGTAI XUEBAO ACTA ECOL. SIN.",1,9
"SHENGWU GONGCHENG XUEBAO CHIN. J. BIOTECHNOL.",1,1
"SN APPL. SCI.",1,2
"SOIL SCI. PLANT NUTR.",1,17
"SOIL SEDIMENT CONTAM.",1,11
"SOIL. ECOL. LETT.",1,3
"SOUTH WESTERN J. HORTIC. BIOL. ENV.",1,0
"SPRINGERPLUS",1,52
"STAND. GENOMIC SCI.",1,12
"STUD. MYCOL.",1,209
"SUSTAINABILITY",1,2
"SYDOWIA",1,25
"SYMBIOSIS",1,9
"TERRA LATINOAM.",1,23
"TETRAHEDRON",1,36
"TREE PHYSIOL.",1,13
"WASTE BIOMASS VALORIS.",1,12
"WATER RES MANAGE",1,0
"ZHONGGUO HUANJING KEXUE",1,5
"ZHONGSHAN DAXUE XUEBAO",1,2
